sl,number in book,country,Title,text
1,1,Netherlands,The new normal,NOT ALLOWED.
2,1,Netherlands,The new normal,CONDITIONS APPLY.
3,1,Netherlands,The new normal,CITIZENS ONLY.
4,1,Netherlands,The new normal,MAJORITY RULES.
5,1,Netherlands,The new normal,NOT ELIGIBLE.
6,1,Netherlands,The new normal,"We have become accustomed to seeing many of those phrases in our cities of today. They hide injustices behind them, and if honestly spoken, they would be far more scarring."
7,1,Netherlands,The new normal,Not Allowed  WE DON’T WANT YOU.
8,1,Netherlands,The new normal,Conditions Apply  WE CHOOSE WHO WE WANT.
9,1,Netherlands,The new normal,Citizens Only  REFUGEES ARE NOT WELCOME.
10,1,Netherlands,The new normal,Majority Rules  WE DON’T CARE ABOUT THE REST.
11,1,Netherlands,The new normal,Not Eligible  YOU DON’T FIT OUR IMPOSED STANDARDS.
12,1,Netherlands,The new normal,"Today, we should be questioning what we see as “normal”; our society should learn to look into those phrases with the eye of the unallowed, the unwanted, the unwelcome, the minority and the ineligible!"
13,1,Netherlands,The new normal,"The challenges faced by our cities in 2020 are no longer bound to matters of environment, resources, technology, and sustainability. The COVID-19 Pandemic has exposed the virus of injustice that has been rotting in our cities. When the whole world shared the same enemy, access to safety was a privilege."
14,1,Netherlands,The new normal,“Privilege is when you think that something is not a problem because it’s not a problem for you personally.” – David Guider.
15,1,Netherlands,The new normal,"When privilege surfaced during the pandemic, injustices in the cities were brought to light. Injustice is found in architecture and housing, it is found in urban planning, Urban spaces, urban infrastructure, and city services."
16,1,Netherlands,The new normal,"Injustice is embodied in architecture when housing exceeded its definition as a mere shelter. Access to accommodative architecture, well-lit spaces, proper ventilation, and privacy have become a privilege, not a right in the pandemic. What about those who live in the slums? Those who were denied the right to housing simply because they were refugees, they did not belong, or they were not welcome? This is where we call for the just city, where housing policies need to be more inclusive, and proper architecture needs to be more attainable. Maybe it is time to let go of expensive architectural solutions and return to our ancestors who, through little effort, incorporated light, sunshine, warmth, and ventilation in their vernacular homes."
17,1,Netherlands,The new normal,"Injustice is embodied in urban planning when segregation is accentuated with plans that serve the benefit of one part of society. Segregation happens when urban plans do not account for all societal groups, when urban plans put economic sustainability in front of social sustainability, when the price of the square meter is far more important than the price of social cohesion. Far more explicitly, segregation brings out the social divide where people can feel strangers in their own cities. This is a call to revisit our urban planning policies that should encompass all layers of society and all streams of community. This is a wake-up call to remember that social integration results in resilient societies, who through a global pandemic, can support each other as a community and as a whole body."
